"","CC_1","CC_2","LT_1","LT_2","MM_1","MM_2","SMB_1","SMB_2","ST_1","ST_2","WS_1","WS_2"
"2005_BEF.FBL.007",0.0270880361173815,0.0248306997742664,0,0,0,0.0203160270880361,0.0270880361173815,0.00677200902934537,0,0.00451467268623025,0.00677200902934537,0.00451467268623025
"2005_BEF.FBL.008",0.00257731958762887,0,0,0,0,0,0.038659793814433,0.00257731958762887,0,0.00257731958762887,0.00257731958762887,0
"2005_BEF.FBL.009",0,0,0,0,0,0.016304347826087,0,0,0,0.016304347826087,0.0108695652173913,0.00543478260869565
"2005_BEF.FBL.010",0,0.00928792569659443,0.00309597523219814,0,0,0,0.0154798761609907,0,0,0.00309597523219814,0.00309597523219814,0
"2005_BEF.FBL.011",0.0210970464135021,0,0,0,0,0.0274261603375527,0,0,0,0.00210970464135021,0.00632911392405063,0
"2005_BEF.FBL.013",0,0.00523560209424084,0,0,0,0.00523560209424084,0,0,0,0,0,0.00523560209424084
"2005_BEF.FBL.014",0.0277777777777778,0.00396825396825397,0,0,0.0238095238095238,0.0396825396825397,0,0.00396825396825397,0.00396825396825397,0,0.00793650793650794,0
"2005_BEF.FBL.015",0.0158730158730159,0.0141093474426808,0,0,0,0.00352733686067019,0.00529100529100529,0.00352733686067019,0,0.0017636684303351,0.0105820105820106,0.00529100529100529
"2006_BEF.FBL.001",0.0294117647058824,0.00326797385620915,0,0,0.00326797385620915,0.00980392156862745,0.065359477124183,0.042483660130719,0.00326797385620915,0.00326797385620915,0,0.00326797385620915
"2006_BEF.FBL.002",0.00431034482758621,0.00431034482758621,0,0.00431034482758621,0,0.00431034482758621,0,0.00862068965517241,0,0,0,0
"2006_BEF.FBL.003",0.00961538461538462,0.00961538461538462,0,0,0,0.00480769230769231,0,0.00480769230769231,0,0,0,0
"2006_BEF.FBL.004",0.0290697674418605,0.0174418604651163,0,0,0,0,0.0232558139534884,0.0232558139534884,0,0,0,0
"2006_BEF.FBL.005",0.0222672064777328,0.0323886639676113,0,0,0,0.00404858299595142,0.0728744939271255,0.0526315789473684,0.00202429149797571,0,0,0.00404858299595142
"2006_BEF.FBL.006",0.0283018867924528,0.0188679245283019,0,0,0,0.00314465408805031,0.0157232704402516,0.0157232704402516,0,0,0,0
"2006_BEF.FBL.007",0.00938967136150235,0.00704225352112676,0,0,0,0.00234741784037559,0.0117370892018779,0.0187793427230047,0,0.00469483568075117,0,0
"2006_BEF.FBL.008",0,0,0,0,0,0,0.043956043956044,0.0285714285714286,0,0.0021978021978022,0,0
"2006_BEF.FBL.009",0.0423280423280423,0,0,0,0,0.0211640211640212,0,0,0.00529100529100529,0.00529100529100529,0,0
"2006_BEF.FBL.010",0,0,0,0,0,0,0.012987012987013,0.00324675324675325,0,0.00649350649350649,0,0
"2006_BEF.FBL.011",0.0246913580246914,0,0,0,0,0.0246913580246914,0.00823045267489712,0.00823045267489712,0.00205761316872428,0.00205761316872428,0,0
"2006_BEF.FBL.012",0.0132013201320132,0.0033003300330033,0,0,0,0.0231023102310231,0,0.0132013201320132,0,0,0,0
"2006_BEF.FBL.013",0.00858369098712446,0,0,0.00429184549356223,0.00858369098712446,0.0214592274678112,0,0,0,0,0,0
"2006_BEF.FBL.014",0.0583554376657825,0.013262599469496,0,0,0.0026525198938992,0.0344827586206897,0.0026525198938992,0.0106100795755968,0,0,0,0
"2006_BEF.FBL.015",0.015625,0.00173611111111111,0,0.00347222222222222,0.00173611111111111,0.0243055555555556,0.00347222222222222,0.00520833333333333,0,0.00173611111111111,0,0
"2007_BEF.FBL.001",0.100558659217877,0.0195530726256983,0,0,0.0111731843575419,0.00558659217877095,0.0335195530726257,0.00558659217877095,0.00558659217877095,0.00837988826815642,0.0223463687150838,0.00837988826815642
"2007_BEF.FBL.002",0.00992555831265509,0.00992555831265509,0,0,0.00248138957816377,0.00744416873449132,0.00992555831265509,0,0.00248138957816377,0.00248138957816377,0.0397022332506203,0.0124069478908189
"2007_BEF.FBL.003",0.0176470588235294,0.0294117647058824,0,0,0,0.00588235294117647,0.0117647058823529,0,0,0,0.0147058823529412,0.0176470588235294
"2007_BEF.FBL.004",0.0111524163568773,0.0185873605947955,0,0,0,0,0.0223048327137546,0.0111524163568773,0,0,0.0185873605947955,0.0111524163568773
"2007_BEF.FBL.005",0.00767754318618042,0.0230326295585413,0,0,0,0,0.053742802303263,0.0211132437619962,0,0.00575815738963532,0.0403071017274472,0.0115163147792706
"2007_BEF.FBL.006",0.0022075055187638,0.00883002207505519,0,0,0,0,0.0419426048565121,0.00662251655629139,0,0.0022075055187638,0.033112582781457,0.00883002207505519
"2007_BEF.FBL.007",0.00630914826498423,0.0141955835962145,0,0,0,0.0110410094637224,0.0126182965299685,0.00473186119873817,0,0,0.0110410094637224,0.00630914826498423
"2007_BEF.FBL.008",0.00201207243460765,0.00402414486921529,0,0,0.00201207243460765,0.00201207243460765,0.028169014084507,0.0201207243460765,0,0.00201207243460765,0.00201207243460765,0.00201207243460765
"2007_BEF.FBL.009",0.0120481927710843,0.00803212851405622,0,0,0,0.0120481927710843,0,0.00401606425702811,0,0.00401606425702811,0.0120481927710843,0.00401606425702811
"2007_BEF.FBL.010",0,0.00847457627118644,0,0,0,0,0.019774011299435,0.00564971751412429,0,0,0.00282485875706215,0.00282485875706215
"2007_BEF.FBL.011",0,0,0,0,0.00606060606060606,0.0101010101010101,0.0202020202020202,0.00404040404040404,0,0.00202020202020202,0.0121212121212121,0
"2007_BEF.FBL.012",0.0179640718562874,0.00199600798403194,0,0,0.0179640718562874,0.0538922155688623,0.0179640718562874,0.00199600798403194,0,0.00199600798403194,0.0239520958083832,0.00598802395209581
"2007_BEF.FBL.013",0.0344827586206897,0.00766283524904215,0,0,0,0.00766283524904215,0,0,0,0,0,0
"2007_BEF.FBL.014",0.0436893203883495,0.0194174757281553,0,0,0.00728155339805825,0.0242718446601942,0.00242718446601942,0.00485436893203883,0,0,0.00970873786407767,0
"2007_BEF.FBL.015",0.011522633744856,0.00493827160493827,0,0,0.00246913580246914,0.00987654320987654,0,0,0,0.000823045267489712,0.0065843621399177,0
"2008_BEF.FBL.001",0.101123595505618,0,0,0,0.00749063670411985,0.00374531835205993,0.0636704119850187,0.0112359550561798,0.00749063670411985,0.00749063670411985,0.00749063670411985,0.0112359550561798
"2008_BEF.FBL.002",0,0.00854700854700855,0,0,0,0.00427350427350427,0,0,0,0.00427350427350427,0.00427350427350427,0
"2008_BEF.FBL.003",0.015625,0.015625,0,0,0,0,0.0104166666666667,0,0,0.00520833333333333,0,0
"2008_BEF.FBL.004",0.0212765957446809,0.0212765957446809,0,0,0,0,0,0,0,0,0,0
"2008_BEF.FBL.005",0.00563380281690141,0.00563380281690141,0,0,0,0,0.0169014084507042,0.00563380281690141,0,0.0028169014084507,0,0
"2008_BEF.FBL.006",0.0114942528735632,0.0172413793103448,0,0,0,0,0.0028735632183908,0.00574712643678161,0,0.0028735632183908,0,0
"2008_BEF.FBL.007",0,0,0,0,0,0.00248756218905473,0.00995024875621891,0.00248756218905473,0,0.00497512437810945,0,0.00248756218905473
"2008_BEF.FBL.008",0,0,0,0,0,0,0.00680272108843537,0.0170068027210884,0,0.00340136054421769,0,0
"2008_BEF.FBL.009",0,0,0,0,0,0.0113636363636364,0,0,0,0.00568181818181818,0,0
"2008_BEF.FBL.010",0,0,0,0,0,0.00316455696202532,0.00949367088607595,0.00316455696202532,0,0.00316455696202532,0,0
"2008_BEF.FBL.011",0.0142857142857143,0.0102040816326531,0,0,0,0.0102040816326531,0.00816326530612245,0,0.00408163265306122,0.00204081632653061,0,0
"2008_BEF.FBL.012",0.0245614035087719,0,0,0,0,0.0140350877192982,0.0140350877192982,0,0,0,0,0
"2008_BEF.FBL.013",0,0,0,0,0,0.00806451612903226,0,0,0,0,0.00806451612903226,0
"2008_BEF.FBL.014",0.010752688172043,0.00806451612903226,0,0,0,0.00806451612903226,0.00268817204301075,0.00537634408602151,0,0,0.0134408602150538,0.00537634408602151
"2008_BEF.FBL.015",0.00389105058365759,0.00389105058365759,0,0,0.00583657587548638,0.0214007782101167,0.00194552529182879,0,0.00194552529182879,0,0,0
"2009_BEF.FBL.001",0.0850340136054422,0,0,0,0,0,0.0204081632653061,0.00340136054421769,0,0.00340136054421769,0.00340136054421769,0.0510204081632653
"2009_BEF.FBL.002",0.0125523012552301,0.0167364016736402,0,0,0.00418410041841004,0.00836820083682008,0.00836820083682008,0,0.00418410041841004,0.00418410041841004,0.0167364016736402,0.0167364016736402
"2009_BEF.FBL.003",0,0.0366492146596859,0,0,0,0,0.00523560209424084,0,0,0,0,0
"2009_BEF.FBL.004",0.0116279069767442,0.00581395348837209,0,0,0,0.00581395348837209,0.0290697674418605,0,0,0,0.00581395348837209,0
"2009_BEF.FBL.005",0.0118110236220472,0.0275590551181102,0,0,0,0,0.0196850393700787,0.015748031496063,0,0.00393700787401575,0.00393700787401575,0
"2009_BEF.FBL.006",0.0134680134680135,0.0101010101010101,0,0.00168350168350168,0,0.00336700336700337,0.0235690235690236,0.00505050505050505,0,0.00336700336700337,0.00336700336700337,0.0101010101010101
"2009_BEF.FBL.007",0.00596125186289121,0.0134128166915052,0,0,0,0.00447093889716841,0.0104321907600596,0.0029806259314456,0,0,0.00447093889716841,0
"2009_BEF.FBL.008",0.00188323917137476,0,0,0,0,0,0.0301318267419962,0.00188323917137476,0,0,0,0.00376647834274953
"2009_BEF.FBL.009",0.0072992700729927,0.00364963503649635,0,0,0,0.0109489051094891,0.0072992700729927,0,0,0.0145985401459854,0,0
"2009_BEF.FBL.010",0,0.0018796992481203,0,0,0,0,0.0075187969924812,0,0,0,0,0.0018796992481203
"2009_BEF.FBL.011",0.042654028436019,0.00710900473933649,0,0,0.004739336492891,0.004739336492891,0.00947867298578199,0.0023696682464455,0.0023696682464455,0.004739336492891,0.004739336492891,0.0023696682464455
"2009_BEF.FBL.012",0.00884955752212389,0.00442477876106195,0,0,0.00221238938053097,0.0243362831858407,0.0265486725663717,0,0.00221238938053097,0.00221238938053097,0.00884955752212389,0
"2009_BEF.FBL.013",0.0118203309692671,0.00472813238770686,0,0,0,0.00236406619385343,0,0,0,0.00236406619385343,0.0212765957446809,0.0118203309692671
"2009_BEF.FBL.014",0.0129589632829374,0.00215982721382289,0,0,0.00215982721382289,0.0151187904967603,0.00647948164146868,0,0,0,0.00215982721382289,0
"2009_BEF.FBL.015",0.00387596899224806,0.00290697674418605,0,0,0.00290697674418605,0.00387596899224806,0.00193798449612403,0.00581395348837209,0,0.00193798449612403,0.00775193798449612,0.00290697674418605
"2010_BEF.FBL.001",0.0712166172106825,0.0148367952522255,0,0,0.0029673590504451,0,0.0385756676557863,0.00890207715133531,0.00890207715133531,0.0148367952522255,0.0237388724035608,0.00890207715133531
"2010_BEF.FBL.002",0.0072202166064982,0.0036101083032491,0,0,0.0036101083032491,0.0036101083032491,0.0036101083032491,0,0,0,0.0072202166064982,0
"2010_BEF.FBL.003",0,0.0337552742616034,0,0.00421940928270042,0,0,0,0,0,0.00421940928270042,0.00843881856540084,0.00843881856540084
"2010_BEF.FBL.004",0.0251572327044025,0.0125786163522013,0,0,0,0,0.0251572327044025,0,0,0,0,0
"2010_BEF.FBL.005",0.00602409638554217,0.00903614457831325,0,0,0,0,0.0301204819277108,0.00602409638554217,0,0,0.0150602409638554,0.00301204819277108
"2010_BEF.FBL.006",0.0127041742286751,0.0163339382940109,0,0,0,0,0.0272232304900181,0.0108892921960073,0,0.00181488203266788,0,0.00544464609800363
"2010_BEF.FBL.007",0,0.00457317073170732,0,0,0,0,0.0320121951219512,0.00304878048780488,0,0,0.00152439024390244,0.00457317073170732
"2010_BEF.FBL.008",0,0.00793650793650794,0,0,0,0,0.0257936507936508,0,0,0,0,0.00396825396825397
"2010_BEF.FBL.009",0.00247524752475248,0,0,0,0,0.0272277227722772,0.00247524752475248,0.00247524752475248,0,0.00742574257425743,0.00247524752475248,0
"2010_BEF.FBL.010",0,0,0,0,0,0.0026525198938992,0.00795755968169761,0,0,0.00530503978779841,0,0
"2010_BEF.FBL.011",0.0062111801242236,0,0,0,0.0082815734989648,0.010351966873706,0.010351966873706,0.0041407867494824,0,0,0,0
"2010_BEF.FBL.012",0.00285714285714286,0.00285714285714286,0,0,0.00285714285714286,0.0485714285714286,0.0142857142857143,0.00285714285714286,0,0.00285714285714286,0,0
"2010_BEF.FBL.013",0.00328947368421053,0.00328947368421053,0,0.00328947368421053,0,0,0,0.00328947368421053,0,0,0.0164473684210526,0.00328947368421053
"2010_BEF.FBL.014",0.0157068062827225,0.00523560209424084,0,0,0.00261780104712042,0.0130890052356021,0.0130890052356021,0,0,0.00261780104712042,0.0104712041884817,0.00785340314136126
"2010_BEF.FBL.015",0.0304054054054054,0.00675675675675676,0,0,0,0.0185810810810811,0.00506756756756757,0,0.00168918918918919,0.00675675675675676,0.0219594594594595,0
"2011_BEF.FBL.001",0.0229166666666667,0.00625,0,0.00208333333333333,0.00208333333333333,0.00208333333333333,0.03125,0.0229166666666667,0,0.00208333333333333,0.00833333333333333,0.0416666666666667
"2011_BEF.FBL.002",0.00684931506849315,0,0,0,0,0.00342465753424658,0.00171232876712329,0.00342465753424658,0,0,0.00342465753424658,0
"2011_BEF.FBL.003,4",0.0122549019607843,0.0147058823529412,0,0,0,0,0,0,0,0,0,0
"2011_BEF.FBL.005",0.003003003003003,0.021021021021021,0,0,0,0.00600600600600601,0.0570570570570571,0.03003003003003,0,0.003003003003003,0,0
"2011_BEF.FBL.006",0.0018450184501845,0.00922509225092251,0,0.0018450184501845,0,0.011070110701107,0.0202952029520295,0.018450184501845,0,0.00553505535055351,0.00553505535055351,0.0018450184501845
"2011_BEF.FBL.007",0,0.0103806228373702,0,0.00173010380622837,0.00346020761245675,0.00173010380622837,0.0121107266435986,0.0224913494809689,0,0.00173010380622837,0.00173010380622837,0
"2011_BEF.FBL.008",0,0.00941176470588235,0,0.00235294117647059,0,0,0.0188235294117647,0.00705882352941176,0,0,0,0
"2011_BEF.FBL.009",0.00335570469798658,0.0100671140939597,0,0,0.00335570469798658,0.0167785234899329,0,0,0,0,0,0
"2011_BEF.FBL.010",0.00865800865800866,0.00432900432900433,0,0.00432900432900433,0,0.00865800865800866,0.00865800865800866,0,0,0,0,0.00432900432900433
"2011_BEF.FBL.011",0,0.00558659217877095,0,0.00279329608938547,0.00837988826815642,0.0139664804469274,0.00837988826815642,0,0,0,0,0
"2011_BEF.FBL.012",0.00459770114942529,0.00689655172413793,0,0,0.0160919540229885,0.0160919540229885,0,0,0,0.00459770114942529,0,0.00229885057471264
"2011_BEF.FBL.013",0.00515463917525773,0.0103092783505155,0,0,0,0,0,0,0,0,0.0180412371134021,0
"2011_BEF.FBL.014",0.00244498777506112,0.00733496332518337,0,0,0.00733496332518337,0.0146699266503667,0.00733496332518337,0.00244498777506112,0,0.00244498777506112,0.00244498777506112,0.00733496332518337
"2011_BEF.FBL.015",0,0.00646830530401035,0,0,0.00646830530401035,0.00905562742561449,0,0.00129366106080207,0,0.00388098318240621,0.00258732212160414,0.00258732212160414
"2012_BEF.FBL.001",0.0329113924050633,0,0,0,0,0.0227848101265823,0.010126582278481,0.0126582278481013,0.0151898734177215,0,0.010126582278481,0
"2012_BEF.FBL.002",0.0222602739726027,0,0,0,0,0,0.00171232876712329,0.00342465753424658,0,0,0,0.00171232876712329
"2012_BEF.FBL.003",0.0263157894736842,0.0043859649122807,0,0,0,0.0087719298245614,0.0087719298245614,0.0307017543859649,0,0,0,0.0043859649122807
"2012_BEF.FBL.004",0,0,0,0,0,0,0.036144578313253,0.0321285140562249,0,0,0,0
"2012_BEF.FBL.005",0.0133928571428571,0,0,0,0,0,0.0267857142857143,0.0223214285714286,0,0,0,0
"2012_BEF.FBL.006",0.0107991360691145,0,0,0,0,0.00863930885529158,0.0280777537796976,0.0345572354211663,0,0,0.00215982721382289,0.0129589632829374
"2012_BEF.FBL.007",0.0115606936416185,0,0,0,0,0.0144508670520231,0.00433526011560694,0.0202312138728324,0,0.00144508670520231,0.00144508670520231,0.00722543352601156
"2012_BEF.FBL.008",0.00213219616204691,0,0,0,0,0,0.00852878464818763,0.023454157782516,0,0,0,0
"2012_BEF.FBL.009",0.00647249190938511,0,0,0.00323624595469256,0,0.0226537216828479,0,0.00647249190938511,0,0.00323624595469256,0,0.00970873786407767
"2012_BEF.FBL.010",0.0190114068441065,0,0,0,0,0.0190114068441065,0.00760456273764259,0.0114068441064639,0,0,0,0.00380228136882129
"2012_BEF.FBL.011",0.017175572519084,0,0,0,0.00381679389312977,0.0229007633587786,0,0.00572519083969466,0,0,0.00572519083969466,0
"2012_BEF.FBL.012",0.00568181818181818,0,0,0,0.0113636363636364,0.0473484848484848,0.00189393939393939,0.0132575757575758,0,0,0,0
"2012_BEF.FBL.013",0.01985559566787,0,0,0,0.00180505415162455,0.0144404332129964,0.00180505415162455,0,0,0,0.00541516245487365,0.0108303249097473
"2012_BEF.FBL.014",0.00753295668549906,0.00188323917137476,0,0,0.00376647834274953,0.0244821092278719,0.00376647834274953,0.00188323917137476,0,0,0.00941619585687382,0.00564971751412429
"2012_BEF.FBL.015",0.0303951367781155,0,0,0,0.00506585612968592,0.0101317122593718,0.00709219858156028,0.011144883485309,0,0.00202634245187437,0.00303951367781155,0.00405268490374873
"2013_BEF.FBL.001",0.021505376344086,0.0268817204301075,0,0,0,0.010752688172043,0.0376344086021505,0.021505376344086,0.00537634408602151,0,0,0
"2013_BEF.FBL.002",0.00244498777506112,0.00488997555012225,0,0.00244498777506112,0,0.00244498777506112,0,0.00733496332518337,0,0,0,0
"2013_BEF.FBL.003",0.00645161290322581,0,0,0,0,0.00645161290322581,0,0.00645161290322581,0,0.00645161290322581,0,0.00645161290322581
"2013_BEF.FBL.005",0,0.00371747211895911,0,0,0,0,0.0483271375464684,0.0223048327137546,0,0,0.00371747211895911,0
"2013_BEF.FBL.006",0,0,0,0,0,0,0.0522875816993464,0.0130718954248366,0,0,0,0.00217864923747277
"2013_BEF.FBL.007",0.00154798761609907,0.00309597523219814,0,0,0,0.00154798761609907,0.0263157894736842,0.0108359133126935,0,0,0.00154798761609907,0.0108359133126935
"2013_BEF.FBL.008",0.00234192037470726,0.00234192037470726,0,0,0,0,0.0351288056206089,0.0257611241217799,0,0,0,0.00234192037470726
"2013_BEF.FBL.009",0.0199501246882793,0.0199501246882793,0,0.00997506234413965,0,0.00748129675810474,0.0124688279301746,0.00498753117206983,0,0,0,0.00249376558603491
"2013_BEF.FBL.010",0.003125,0.009375,0,0.003125,0,0,0.04375,0.00625,0,0,0,0
"2013_BEF.FBL.011",0.00535714285714286,0.00178571428571429,0,0,0.00178571428571429,0.00357142857142857,0.0267857142857143,0.0142857142857143,0.00178571428571429,0,0.00178571428571429,0
