"","rownames","BB","BND","CC","CS","LLS","LT","MM","NF","NRD","PS","RS","RT","RWF","SMB","SS","ST","WS"
"801","2017_BEF.FBL.008",0,0,0.00253164556962025,0,0.010126582278481,0,0,0,0,0,0,0,0,0.0987341772151899,0,0.00253164556962025,0
"802","2017_BEF.FBL.009",0,0,0,0,0,0.00581395348837209,0.00581395348837209,0,0,0,0,0,0,0.00581395348837209,0,0.00581395348837209,0
"803","2017_BEF.FBL.010",0,0,0,0,0.0040650406504065,0.016260162601626,0,0,0,0,0,0,0,0.0284552845528455,0,0.0040650406504065,0
"804","2017_BEF.FBL.011",0,0,0,0,0.00655737704918033,0,0.0229508196721311,0,0,0,0,0,0,0.0262295081967213,0,0,0.00655737704918033
"805","2017_BEF.FBL.012",0,0,0,0,0.00232558139534884,0.00232558139534884,0.0325581395348837,0,0,0,0,0,0,0.0372093023255814,0,0,0
"806","2017_BEF.FBL.013",0,0,0.00301204819277108,0,0,0,0.0180722891566265,0,0,0,0,0,0,0.00301204819277108,0,0,0.00301204819277108
"807","2017_BEF.FBL.014",0,0,0,0,0.00527704485488127,0,0.0369393139841689,0,0,0,0,0,0,0.0184696569920844,0,0.00263852242744063,0.00263852242744063
"808","2017_BEF.FBL.015",0,0,0,0,0.00128700128700129,0,0.0231660231660232,0,0,0,0,0,0,0.0257400257400257,0,0.00128700128700129,0
"809","2017_BEF.LML.001",0,0,0,0,0,0,0,0,0,0.0942249240121581,0,0,0,0.0425531914893617,0.0060790273556231,0,0
"810","2017_BEF.LML.002",0,0,0,0,0,0.00259067357512953,0,0,0,0.0116580310880829,0.022020725388601,0,0,0.00906735751295337,0.0038860103626943,0,0
"811","2017_BEF.LML.003",0,0,0,0,0,0,0,0,0,0.00232288037166086,0.00580720092915215,0,0,0.0905923344947735,0.0139372822299652,0,0.00116144018583043
"812","2017_BEF.LML.004",0,0,0,0,0.000686341798215511,0.000686341798215511,0,0,0,0.00411805078929307,0.0377487989018531,0,0,0.00274536719286205,0.00274536719286205,0.000686341798215511,0.000686341798215511
"813","2017_BEF.LML.005",0,0,0.00393700787401575,0.0078740157480315,0,0,0.00492125984251968,0,0,0.142716535433071,0.000984251968503937,0,0,0.0285433070866142,0.00984251968503937,0.000984251968503937,0.00295275590551181
"814","2017_BEF.LML.006",0,0,0.00126103404791929,0,0,0.00378310214375788,0,0,0,0.0390920554854981,0,0,0,0.0718789407313997,0.0113493064312736,0,0
"815","2017_BEF.LML.007",0,0,0.00139275766016713,0,0.00278551532033426,0,0,0,0,0.011142061281337,0,0,0,0.0584958217270195,0.011142061281337,0,0
"816","2017_BEF.LML.008",0,0,0.00343642611683849,0,0,0.00343642611683849,0,0,0,0.0103092783505155,0,0,0,0.0412371134020619,0.0171821305841924,0,0
"817","2017_BEF.LML.009",0,0,0,0,0.002997002997003,0.001998001998002,0,0,0,0.037962037962038,0,0,0,0.050949050949051,0.011988011988012,0.000999000999000999,0
"818","2017_BEF.LML.010",0,0,0,0,0.00159616919393456,0.00239425379090184,0.000798084596967279,0,0,0.0550678371907422,0,0,0,0.068635275339186,0.00319233838786911,0,0
"819","2017_BEF.LML.011",0,0,0,0,0.00141242937853107,0,0,0,0,0.0409604519774011,0,0,0,0.0918079096045198,0.00282485875706215,0,0
"820","2017_BEF.LML.012",0,0,0.00602409638554217,0,0,0.00602409638554217,0,0,0,0,0,0,0,0.0150602409638554,0.0150602409638554,0.00602409638554217,0
"821","2017_BEF.LML.013",0,0,0,0,0.00938967136150235,0,0,0,0,0.028169014084507,0.00938967136150235,0,0,0.0469483568075117,0,0,0
"822","2017_BEF.LML.014",0,0,0,0,0.00173010380622837,0.00173010380622837,0,0,0,0.055363321799308,0,0,0,0.0674740484429066,0.0069204152249135,0,0.0121107266435986
"823","2017_BEF.LML.015",0,0,0,0,0,0,0,0,0,0.0575757575757576,0,0,0,0.1,0,0.00606060606060606,0.0151515151515152
