"","BB_1","BB_2","CC_1","CC_2","CS_1","CS_2","LT_1","LT_2","MM_1","MM_2","PS_1","PS_2","RS_1","RS_2","RWF_2","SMB_1","SMB_2","SS_1","SS_2","WS_1","WS_2"
"2015_BEF.LML.024",0,0,0.00275482093663912,0,0.00826446280991736,0,0,0,0,0,0.0110192837465565,0.00275482093663912,0.0110192837465565,0,0.00275482093663912,0.046831955922865,0.0110192837465565,0,0.0110192837465565,0,0
"2015_BEF.LML.025",0,0,0.00149925037481259,0,0.0149925037481259,0,0,0,0.00149925037481259,0.00149925037481259,0.0164917541229385,0.00749625187406297,0.0134932533733133,0,0,0.0449775112443778,0.0164917541229385,0,0,0.00149925037481259,0
"2015_BEF.LML.026",0,0,0.0093167701863354,0,0.0186335403726708,0,0,0,0,0.0031055900621118,0.0341614906832298,0.0186335403726708,0.0031055900621118,0,0,0.0434782608695652,0.0403726708074534,0,0,0.0062111801242236,0
"2015_BEF.LML.027",0,0,0,0.00226244343891403,0.00904977375565611,0,0,0,0.00452488687782805,0.00226244343891403,0.0497737556561086,0.0135746606334842,0.00226244343891403,0,0,0.0113122171945701,0.00904977375565611,0.00226244343891403,0.00226244343891403,0,0.00452488687782805
"2015_BEF.LML.028",0,0,0,0,0,0,0,0,0.00387596899224806,0.00387596899224806,0.0232558139534884,0.00387596899224806,0.0658914728682171,0,0,0.00193798449612403,0,0.00193798449612403,0,0,0
"2015_BEF.LML.029",0,0,0,0,0,0,0,0,0,0,0.021680216802168,0.002710027100271,0,0,0,0.0514905149051491,0.002710027100271,0,0.002710027100271,0,0
"2015_BEF.LML.030",0,0,0,0,0,0,0,0,0,0,0.0353089533417402,0.0126103404791929,0,0,0,0.0605296343001261,0.0630517023959647,0,0.00378310214375788,0,0
"2015_BEF.LML.031",0,0,0,0,0.000728862973760933,0,0.000728862973760933,0,0,0,0.0021865889212828,0,0.0422740524781341,0.000728862973760933,0.0021865889212828,0.00801749271137026,0.00364431486880466,0.00291545189504373,0.00583090379008746,0.000728862973760933,0.0021865889212828
"2015_BEF.LML.032",0,0,0,0,0.0141509433962264,0,0,0,0,0,0.00943396226415094,0.00471698113207547,0.0141509433962264,0,0,0.0377358490566038,0.0235849056603774,0,0,0,0
"2016_BEF.LML.001",0,0,0,0,0,0,0.00246913580246914,0,0,0.00246913580246914,0.0222222222222222,0.0271604938271605,0,0,0,0.00740740740740741,0.0296296296296296,0,0.0222222222222222,0,0
